IDX   LABEL PC UI CLKT   CS0   CS1   CA WCKT RDQST   DMI0 DMI1 DATAe DATAo 
000005          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000005          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000006          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000007          -     1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
000008          -     1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000
