DO	FU	HB	CB	NB	DU	SG	HTEMP	tPD	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	cycle	run	wf	x	y	mask	line	part	lot	step	test_model	tester	test	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223
2	R	2	G	0	74	x08A8994008404199	76:00:00	58.18	0.821	0.948	0.942	0.615	0.643	0.645	0.996	1.126	1.121	0.683	0.719	0.721	1.116	1.254	1.249	NRT	0	0	857	857	857	857	0	0	33	PCI021	10	38	42	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	2	G	0	74	x08F094C020404199	75:00:00	56.15	0.777	0.917	0.907	0.587	0.61	0.618	0.951	1.081	1.081	0.65	0.679	0.686	1.064	1.199	1.199	NRT	0	0	857	857	857	857	0	0	33	PCI024	6	37	60	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	2	G	0	74	x08ACA14008404199	77:00:00	57.83	0.818	0.947	0.953	0.613	0.633	0.638	0.994	1.116	1.126	0.681	0.704	0.714	1.113	1.239	1.249	NRT	0	0	857	857	857	857	0	0	33	PCI021	10	40	43	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	2	G	0	75	x089064A020404199	72:00:00	55.58	0.784	0.92	0.91	0.584	0.6	0.607	0.941	1.061	1.081	0.649	0.67	0.675	1.055	1.177	1.192	NRT	0	0	857	857	857	857	0	0	33	PCI024	5	25	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	2	G	0	75	x08ACA10008404199	75:00:00	57.65	0.818	0.967	0.955	0.613	0.635	0.645	0.996	1.131	1.126	0.681	0.713	0.718	1.118	1.252	1.252	NRT	0	0	857	857	857	857	0	0	33	PCI021	8	40	43	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	2	G	0	75	x088878A020404199	73:00:00	55.69	0.786	0.92	0.914	0.587	0.612	0.61	0.945	1.081	1.066	0.651	0.688	0.683	1.06	1.202	1.192	NRT	0	0	857	857	857	857	0	0	33	PCI024	5	30	34	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	R	2	G	0	75	x08ACA90008404199	76:00:00	59.02	0.827	0.945	0.96	0.619	0.647	0.65	1.003	1.131	1.141	0.69	0.72	0.72	1.127	1.267	1.272	NRT	0	0	857	857	857	857	0	0	33	PCI021	8	42	43	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	R	6	N	0	76	x08C8D9C020404199	71:00:00	57.83	0.808	0.927	0.945	0.602	0.617	0.625	0.975	1.091	1.106	0.67	0.693	0.7	1.094	1.217	1.232	NRT	0	0	857	857	857	857	0	0	33	PCI024	14	54	50	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	R	6	N	0	76	x08A86DC008404199	71:00:00	57.48	0.824	0.967	0.95	0.616	0.645	0.642	0.997	1.136	1.131	0.686	0.723	0.72	1.119	1.262	1.257	NRT	0	0	857	857	857	857	0	0	33	PCI021	14	27	42	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	R	6	N	855	76	x08D4D5C020404199	71:00:00	55.99	0.791	0.937	0.935	0.591	0.607	0.622	0.953	1.086	1.091	0.657	0.68	0.69	1.068	1.207	1.212	NRT	855	0	857	857	857	857	927	0	33	PCI024	14	53	53	B	P	K3KL3L30CM-BGCT000-POB9AH	PCI0249U72	T091PR0	MAGEPICU	m805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
