DO	FU	HB	CB	NB	DU	SG	HTEMP	tPD	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	cycle	run	wf	x	y	mask	line	part	lot	step	test_model	tester	test	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223
1	R	6	N	0	1	x08A44D4028003999	-20:0	66.39	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	19	41	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	1	x08EC56C028003999	-25:0	70.88	NRT	0	0	853	854	855	876	891	893	894	927	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	21	59	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	1	x08A0514028003999	-25:0	66.82	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	20	40	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	3088	1	x08D446C028003999	-28:0	70.49	NRT	3088	3089	4000	4001	4002	4003	4004	4005	4007	4008	4013	4014	4015	4016	4017	4018	500000	500000	880000	880000	8a0000	50000000	0	1	PCH005	22	17	53	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	2	x08A04D6038003999	-24:0	71.68	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	11	19	40	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	2	x08DC5A4028003999	-25:0	66.28	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1a00	0	0	0	0	1	PCH005	18	22	55	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	1357	2	x0890616038003999	-26:0	72.04	NRT	1357	1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ff0000	ff0000	0	0	0	ff000000	0	1	PCH007	11	24	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	0	2	x08D4564028003999	-29:0	64.7	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1a00	0	0	0	0	1	PCH005	18	21	53	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	3	x08A0554038003999	-25:0	64.59	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0	1	PCH007	10	21	40	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	4219	3	x088C79A028003999	-25:0	72.31	NRT	4219	4219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10f000	20f000	0	0	0	10f00000	20f00000	1	PCH005	13	30	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	3	x08E0B94038003999	-22:0	63.17	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0	1	PCH007	10	46	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	4219	3	x088C9DA028003999	-26:0	71.77	NRT	4219	4219	4230	4230	4359	0	0	0	0	0	0	0	0	0	0	0	a00000	f00000	800000	800000	c00000	a0000000	f0000000	1	PCH005	13	39	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	4	x08B099A038003999	-22:0	67.45	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	13	38	44	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	4	x08BCD64028003999	-29:0	65.67	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	53	47	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	4	x08B4A5A038003999	-26:0	67.85	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	13	41	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	4908	4	x08C4D64028003999	-27:0	65.26	NRT	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	53	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	5	x090074A038003999	-17:0	70.18	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	5	29	64	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	5	x08C444E028003999	-30:0	70.79	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	7	17	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	5	x088868A038003999	-21:0	74	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	5	26	34	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	3091	5	x08B448E028003999	-27:0	72.82	NRT	3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1000000	1	PCH005	7	18	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	6	x0898610038003999	-26:0	72.82	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	8	24	38	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	6	x08C4518028003999	-30:0	69.67	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	12	20	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	6	x0890750038003999	-24:0	71.77	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	8	29	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	6	x08C4B58028003999	-28:0	71.37	NRT	0	0	4906	4906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	12	45	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	7	x08C4454028003999	-23:0	66.74	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	17	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	7	x08FC86C028003999	-20:0	70.01	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	33	63	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	7	x08B8494028003999	-23:0	68.05	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	18	46	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	7	x08FC82C028003999	-27:0	69.88	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	32	63	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	8	x08FC6CC038003999	-22:0	74.73	NRT	4219	0	4359	0	0	0	0	0	0	0	0	0	0	0	0	0	f00000	0	c00000	0	0	0	f0000000	1	PCH007	6	27	63	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	8	x08E048E028003999	-27:0	69	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	7	18	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	4217	8	x08ECC4C038003999	-20:0	74.68	NRT	4217	4217	4219	4317	4317	4318	4318	4319	4359	0	0	0	0	0	0	0	f00000	f09000	f8f000	f00000	f00000	f0000000	f0900000	1	PCH007	6	49	59	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	0	8	x08CC44E028003999	-28:0	70.75	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	7	17	51	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	9	x08F4A1A038003999	-22:0	71.23	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	13	40	61	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	9	x088CAE6028003999	-28:0	65.63	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	19	43	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	3158	9	x090079A038003999	-23:0	69.16	NRT	3158	3159	3160	3160	3170	3170	3171	3171	274	3200	3201	3202	3203	3204	3205	3206	2000	ff00	ff00	ff00	ff00	0	200000	1	PCH007	13	30	64	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	0	9	x0894BA6028003999	-27:0	65.86	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	19	46	37	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	10	x08E4654028003999	-25:0	66.16	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	25	57	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	10	x08DC668028003999	-28:0	63.62	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	20	25	55	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	10	x08C4554028003999	-20:0	65.78	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	21	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	10	x08DCB28028003999	-26:0	62.54	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	20	44	55	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	11	x08E8B94028003999	-26:0	65.82	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	46	58	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	11	x08FC92C028003999	-26:0	69.21	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	36	63	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	11	x08E8A94028003999	-25:0	66.59	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	42	58	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	11	x08E85AC028003999	-26:0	68.3	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	22	58	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	12	x08E0C14028003999	-26:0	66.32	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	48	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	12	x08B48EC028003999	-34:0	69.29	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	35	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	12	x08E4BD4028003999	-27:0	65.63	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	47	57	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	12	x08B49AC028003999	-27:0	69.71	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	38	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	3293	13	x0890754028003999	-24:0	66.82	NRT	3293	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	10000	0	1	PCH005	10	29	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	13	x08E0CA8028003999	-25:0	64.7	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	20	50	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	13	x0890794028003999	-25:0	66.59	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	30	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	0	13	x08E0B68028003999	-24:0	62.51	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	20	45	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	14	x08B4594028003999	-25:0	64.7	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	22	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	14	x08DCCA8028003999	-27:0	65.22	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	20	50	55	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	14	x08A0AD4028003999	-25:0	67.29	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	43	40	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	14	x08D8B68028003999	-25:0	64.05	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	20	45	54	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	15	x08C0A5A038003999	-24:0	65.93	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	13	41	48	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	15	x08F8864028003999	-26:0	65.07	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	33	62	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	15	x08C475A038003999	-28:0	66.55	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	13	29	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	15	x08F4764028003999	-27:0	66.59	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	29	61	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	16	x0884816038003999	-26:0	72.87	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	11	32	33	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	16	x08E45E4028003999	-27:0	65.67	NRT	0	0	853	854	855	876	891	893	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	23	57	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	318	16	x08848D6038003999	-26:0	72.09	NRT	318	319	3015	3015	3016	3016	3022	3022	3023	3023	3041	3041	3043	3043	3044	3044	ff0000	ff0000	ff0000	ff0000	ff0000	ff000000	0	1	PCH007	11	35	33	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	0	16	x08E0564028003999	-25:0	65.03	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	21	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	17	x08C4AD4028003999	-25:0	65	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	43	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	17	x088CB26028003999	-27:0	65.97	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	19	44	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	17	x08B4754028003999	-24:0	66.63	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	29	45	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	17	x0890BE6028003999	-25:0	66.05	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	19	47	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	18	x0890894028003999	-23:0	67.73	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	34	36	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	18	x08DCCAC028003999	-24:0	70.66	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	50	55	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	18	x0894A54028003999	-20:0	67.21	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	10	41	37	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	18	x08E0CAC028003999	-25:0	70.1	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	22	50	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	19	x08FC956038003999	-20:0	70.62	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1b00	0	0	0	0	1	PCH007	11	37	63	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	19	x08C0A64028003999	-28:0	63.73	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	41	48	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	19	x08F4896038003999	-23:0	70.7	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1b00	0	0	0	0	1	PCH007	11	34	61	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	19	x08BC764028003999	-26:0	63.45	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	29	47	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	20	x088C7D6038003999	-23:0	73.29	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	1	PCH007	11	31	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	20	x08D06A4028003999	-25:0	64.34	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	26	52	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	20	x088C856038003999	-22:0	72.09	NRT	0	0	4284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	1	PCH007	11	33	35	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	20	x08C4664028003999	-29:0	65.63	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	18	25	49	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	2	G	0	21	x08D870A038003999	-19:0	69.88	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	5	28	54	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	2	G	0	21	x090474A028003999	-24:0	66.43	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	5	29	65	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	2	G	0	21	x08D464A038003999	-24:0	71.14	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	5	25	53	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	2	G	0	21	x090078A028003999	-26:0	69.33	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	5	30	64	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	22	x08E0D1A038003999	-20:0	67.13	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	13	52	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	22	x09008A6028003999	-25:0	63.91	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	19	34	64	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	22	x08F0BDA038003999	-23:0	67.57	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	13	47	60	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	931	22	x08F05E6028003999	-26:0	63.24	NRT	931	0	932	933	934	935	936	937	938	939	942	943	944	945	946	947	0	0	0	0	0	0	0	1	PCH005	19	23	60	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
1	R	6	N	0	23	x0900950038003999	-20:0	69.63	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	8	37	64	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
2	R	6	N	0	23	x08E0B98028003999	-23:0	71.19	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH005	12	46	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
3	R	6	N	0	23	x08F8AD0038003999	-23:0	71.86	NRT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	PCH007	8	43	62	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
4	R	6	N	2301	23	x08E0598028003999	-25:0	70.01	NRT	2301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d100	0	0	0	0	00d10000	0	1	PCH005	12	22	56	B	P	K3KL3L30CM-BGCT000-POB9AH	PCH0079X52	T090PR0	MAGEPICU	m805	0															
