IDX	LABEL	PC	UI	CLKT	CS0	CS1	CA	WCKT	RDQS0	RDQS1	DMI0	DMI1	DATAe	DATAo	CLK_cnt	CMD	BANK	ROW	COLA	MR_VAL	ETC	Data
9A0	LA1	119	1	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	-	-	-	-	-	-
9A1	-	119	2	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	-	-	-	-	-	-
9A2	-	119	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	A0	-	-	-	-	-
9A3	-	119	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	616	ACT-1	A0	-	-	-	-	-
9A4	-	119	5	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	-	-	-	-	-
9A5	-	119	6	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	-	-	-	-	-
9A6	-	119	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	0x0	-	-	-	-
9A7	-	119	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	617	ACT-2	A0	0x0	-	-	-	-
9A8	-	119	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9A9	-	119	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9AA	-	119	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9AB	-	119	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	618	DES	-	-	-	-	-	-
9AC	-	119	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9AD	-	119	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9AE	-	119	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9AF	-	119	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	619	DES	-	-	-	-	-	-
9B0	-	11A	1	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	-	-	-	-	-	-
9B1	-	11A	2	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	-	-	-	-	-	-
9B2	-	11A	3	1	0	0	1110100_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	A1	-	-	-	-	-
9B3	-	11A	4	1	0	0	1110100_	10_	00_	00_	00_	00_	0x0000	0x0000	620	ACT-1	A1	-	-	-	-	-
9B4	-	11A	5	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	-	-	-	-	-
9B5	-	11A	6	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	-	-	-	-	-
9B6	-	11A	7	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	0xffff	-	-	-	-
9B7	-	11A	8	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	621	ACT-2	A1	0xffff	-	-	-	-
9B8	-	11A	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9B9	-	11A	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9BA	-	11A	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9BB	-	11A	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	622	DES	-	-	-	-	-	-
9BC	-	11A	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9BD	-	11A	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9BE	-	11A	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9BF	-	11A	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	623	DES	-	-	-	-	-	-
9C0	-	11B	1	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	-	-	-	-	-	-
9C1	-	11B	2	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	-	-	-	-	-	-
9C2	-	11B	3	1	0	0	0001000_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	A2	-	-	-	-	-
9C3	-	11B	4	1	0	0	0001000_	10_	00_	00_	00_	00_	0x0000	0x0000	624	ACT-1	A2	-	-	-	-	-
9C4	-	11B	5	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	-	-	-	-	-
9C5	-	11B	6	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	-	-	-	-	-
9C6	-	11B	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	0x0	-	-	-	-
9C7	-	11B	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	625	ACT-2	A2	0x0	-	-	-	-
9C8	-	11B	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9C9	-	11B	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9CA	-	11B	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9CB	-	11B	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	626	DES	-	-	-	-	-	-
9CC	-	11B	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9CD	-	11B	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9CE	-	11B	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9CF	-	11B	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	627	DES	-	-	-	-	-	-
9D0	-	11C	1	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	-	-	-	-	-	-
9D1	-	11C	2	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	-	-	-	-	-	-
9D2	-	11C	3	1	0	0	1111100_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	A3	-	-	-	-	-
9D3	-	11C	4	1	0	0	1111100_	10_	00_	00_	00_	00_	0x0000	0x0000	628	ACT-1	A3	-	-	-	-	-
9D4	-	11C	5	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	-	-	-	-	-
9D5	-	11C	6	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	-	-	-	-	-
9D6	-	11C	7	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	0xffff	-	-	-	-
9D7	-	11C	8	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	629	ACT-2	A3	0xffff	-	-	-	-
9D8	-	11C	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9D9	-	11C	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9DA	-	11C	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9DB	-	11C	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	630	DES	-	-	-	-	-	-
9DC	-	11C	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9DD	-	11C	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9DE	-	11C	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9DF	-	11C	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	631	DES	-	-	-	-	-	-
9.00E+00	-	11D	1	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+01	-	11D	2	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+02	-	11D	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+03	-	11D	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	632	DES	-	-	-	-	-	-
9.00E+04	-	11D	5	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	633	DES	-	-	-	-	-	-
9.00E+05	-	11D	6	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	633	DES	-	-	-	-	-	-
9.00E+06	-	11D	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	633	DES	-	-	-	-	-	-
9.00E+07	-	11D	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	633	DES	-	-	-	-	-	-
9.00E+08	-	11D	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	634	DES	-	-	-	-	-	-
9.00E+09	-	11D	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	634	DES	-	-	-	-	-	-
9EA	-	11D	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	634	DES	-	-	-	-	-	-
9EB	-	11D	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	634	DES	-	-	-	-	-	-
9EC	-	11D	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	635	DES	-	-	-	-	-	-
9ED	-	11D	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	635	DES	-	-	-	-	-	-
9EE	-	11D	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	635	DES	-	-	-	-	-	-
9EF	-	11D	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	635	DES	-	-	-	-	-	-
9F0	-	11E	1	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	636	DES	-	-	-	-	-	-
9F1	-	11E	2	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	636	DES	-	-	-	-	-	-
9F2	-	11E	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	636	DES	-	-	-	-	-	-
9F3	-	11E	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	636	DES	-	-	-	-	-	-
9F4	-	11E	5	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	637	DES	-	-	-	-	-	-
9F5	-	11E	6	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	637	DES	-	-	-	-	-	-
9F6	-	11E	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	637	DES	-	-	-	-	-	-
9F7	-	11E	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	637	DES	-	-	-	-	-	-
9F8	-	11E	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	638	DES	-	-	-	-	-	-
9F9	-	11E	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	638	DES	-	-	-	-	-	-
9FA	-	11E	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	638	DES	-	-	-	-	-	-
9FB	-	11E	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	638	DES	-	-	-	-	-	-
9FC	-	11E	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	639	DES	-	-	-	-	-	-
9FD	-	11E	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	639	DES	-	-	-	-	-	-
9FE	-	11E	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	639	DES	-	-	-	-	-	-
9FF	-	11E	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	639	DES	-	-	-	-	-	-
A00	-	11F	1	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	640	DES	-	-	-	-	-	-
A01	-	11F	2	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	640	DES	-	-	-	-	-	-
A02	-	11F	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	640	DES	-	-	-	-	-	-
A03	-	11F	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	640	DES	-	-	-	-	-	-
A04	-	11F	5	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	641	DES	-	-	-	-	-	-
A05	-	11F	6	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	641	DES	-	-	-	-	-	-
A06	-	11F	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	641	DES	-	-	-	-	-	-
A07	-	11F	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	641	DES	-	-	-	-	-	-
A08	-	11F	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	642	DES	-	-	-	-	-	-
A09	-	11F	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	642	DES	-	-	-	-	-	-
A0A	-	11F	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	642	DES	-	-	-	-	-	-
A0B	-	11F	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	642	DES	-	-	-	-	-	-
A0C	-	11F	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	643	DES	-	-	-	-	-	-
A0D	-	11F	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	643	DES	-	-	-	-	-	-
A0E	-	11F	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	643	DES	-	-	-	-	-	-
A0F	-	11F	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	643	DES	-	-	-	-	-	-
A10	-	120	1	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	644	DES	-	-	-	-	-	-
A11	-	120	2	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	644	DES	-	-	-	-	-	-
A12	-	120	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	644	DES	-	-	-	-	-	-
A13	-	120	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	644	DES	-	-	-	-	-	-
A14	-	120	5	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	645	DES	-	-	-	-	-	-
A15	-	120	6	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	645	DES	-	-	-	-	-	-
A16	-	120	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	645	DES	-	-	-	-	-	-
A17	-	120	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	645	DES	-	-	-	-	-	-
A18	-	120	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	646	DES	-	-	-	-	-	-
A19	-	120	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	646	DES	-	-	-	-	-	-
A1A	-	120	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	646	DES	-	-	-	-	-	-
A1B	-	120	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	646	DES	-	-	-	-	-	-
A1C	-	120	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	647	DES	-	-	-	-	-	-
A1D	-	120	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	647	DES	-	-	-	-	-	-
A1E	-	120	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	647	DES	-	-	-	-	-	-
A1F	-	120	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	647	DES	-	-	-	-	-	-
A20	-	121	1	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	648	ACT-1	-	-	-	-	-	-
A21	-	121	2	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	648	ACT-1	-	-	-	-	-	-
A22	-	121	3	1	0	0	0000001_	10_	00_	00_	00_	00_	0x0000	0x0000	648	ACT-1	B0	-	-	-	-	-
A23	-	121	4	1	0	0	0000001_	10_	00_	00_	00_	00_	0x0000	0x0000	648	ACT-1	B0	-	-	-	-	-
A24	-	121	5	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	649	ACT-2	B0	-	-	-	-	-
A25	-	121	6	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	649	ACT-2	B0	-	-	-	-	-
A26	-	121	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	649	ACT-2	B0	0x0	-	-	-	-
A27	-	121	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	649	ACT-2	B0	0x0	-	-	-	-
A28	-	121	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	650	DES	-	-	-	-	-	-
A29	-	121	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	650	DES	-	-	-	-	-	-
A2A	-	121	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	650	DES	-	-	-	-	-	-
A2B	-	121	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	650	DES	-	-	-	-	-	-
A2C	-	121	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	651	DES	-	-	-	-	-	-
A2D	-	121	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	651	DES	-	-	-	-	-	-
A2E	-	121	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	651	DES	-	-	-	-	-	-
A2F	-	121	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	651	DES	-	-	-	-	-	-
A30	-	122	1	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	652	ACT-1	-	-	-	-	-	-
A31	-	122	2	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	652	ACT-1	-	-	-	-	-	-
A32	-	122	3	1	0	0	1110101_	10_	00_	00_	00_	00_	0x0000	0x0000	652	ACT-1	B1	-	-	-	-	-
A33	-	122	4	1	0	0	1110101_	10_	00_	00_	00_	00_	0x0000	0x0000	652	ACT-1	B1	-	-	-	-	-
A34	-	122	5	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	653	ACT-2	B1	-	-	-	-	-
A35	-	122	6	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	653	ACT-2	B1	-	-	-	-	-
A36	-	122	7	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	653	ACT-2	B1	0xffff	-	-	-	-
A37	-	122	8	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	653	ACT-2	B1	0xffff	-	-	-	-
A38	-	122	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	654	DES	-	-	-	-	-	-
A39	-	122	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	654	DES	-	-	-	-	-	-
A3A	-	122	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	654	DES	-	-	-	-	-	-
A3B	-	122	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	654	DES	-	-	-	-	-	-
A3C	-	122	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	655	DES	-	-	-	-	-	-
A3D	-	122	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	655	DES	-	-	-	-	-	-
A3E	-	122	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	655	DES	-	-	-	-	-	-
A3F	-	122	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	655	DES	-	-	-	-	-	-
A40	-	123	1	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	656	ACT-1	-	-	-	-	-	-
A41	-	123	2	0	1	0	0000111_	10_	00_	00_	00_	00_	0x0000	0x0000	656	ACT-1	-	-	-	-	-	-
A42	-	123	3	1	0	0	0001001_	10_	00_	00_	00_	00_	0x0000	0x0000	656	ACT-1	B2	-	-	-	-	-
A43	-	123	4	1	0	0	0001001_	10_	00_	00_	00_	00_	0x0000	0x0000	656	ACT-1	B2	-	-	-	-	-
A44	-	123	5	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	657	ACT-2	B2	-	-	-	-	-
A45	-	123	6	0	1	0	0000011_	10_	00_	00_	00_	00_	0x0000	0x0000	657	ACT-2	B2	-	-	-	-	-
A46	-	123	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	657	ACT-2	B2	0x0	-	-	-	-
A47	-	123	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	657	ACT-2	B2	0x0	-	-	-	-
A48	-	123	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	658	DES	-	-	-	-	-	-
A49	-	123	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	658	DES	-	-	-	-	-	-
A4A	-	123	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	658	DES	-	-	-	-	-	-
A4B	-	123	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	658	DES	-	-	-	-	-	-
A4C	-	123	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	659	DES	-	-	-	-	-	-
A4D	-	123	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	659	DES	-	-	-	-	-	-
A4E	-	123	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	659	DES	-	-	-	-	-	-
A4F	-	123	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	659	DES	-	-	-	-	-	-
A50	-	124	1	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	660	ACT-1	-	-	-	-	-	-
A51	-	124	2	0	1	0	0011111_	10_	00_	00_	00_	00_	0x0000	0x0000	660	ACT-1	-	-	-	-	-	-
A52	-	124	3	1	0	0	1111101_	10_	00_	00_	00_	00_	0x0000	0x0000	660	ACT-1	B3	-	-	-	-	-
A53	-	124	4	1	0	0	1111101_	10_	00_	00_	00_	00_	0x0000	0x0000	660	ACT-1	B3	-	-	-	-	-
A54	-	124	5	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	661	ACT-2	B3	-	-	-	-	-
A55	-	124	6	0	1	0	1111011_	10_	00_	00_	00_	00_	0x0000	0x0000	661	ACT-2	B3	-	-	-	-	-
A56	-	124	7	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	661	ACT-2	B3	0xffff	-	-	-	-
A57	-	124	8	1	0	0	1111111_	10_	00_	00_	00_	00_	0x0000	0x0000	661	ACT-2	B3	0xffff	-	-	-	-
A58	-	124	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	662	DES	-	-	-	-	-	-
A59	-	124	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	662	DES	-	-	-	-	-	-
A5A	-	124	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	662	DES	-	-	-	-	-	-
A5B	-	124	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	662	DES	-	-	-	-	-	-
A5C	-	124	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	663	DES	-	-	-	-	-	-
A5D	-	124	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	663	DES	-	-	-	-	-	-
A5E	-	124	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	663	DES	-	-	-	-	-	-
A5F	-	124	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	663	DES	-	-	-	-	-	-
A60	-	125	1	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	664	DES	-	-	-	-	-	-
A61	-	125	2	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	664	DES	-	-	-	-	-	-
A62	-	125	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	664	DES	-	-	-	-	-	-
A63	-	125	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	664	DES	-	-	-	-	-	-
A64	-	125	5	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	665	DES	-	-	-	-	-	-
A65	-	125	6	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	665	DES	-	-	-	-	-	-
A66	-	125	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	665	DES	-	-	-	-	-	-
A67	-	125	8	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	665	DES	-	-	-	-	-	-
A68	-	125	9	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	666	DES	-	-	-	-	-	-
A69	-	125	10	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	666	DES	-	-	-	-	-	-
A6A	-	125	11	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	666	DES	-	-	-	-	-	-
A6B	-	125	12	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	666	DES	-	-	-	-	-	-
A6C	-	125	13	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	667	DES	-	-	-	-	-	-
A6D	-	125	14	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	667	DES	-	-	-	-	-	-
A6E	-	125	15	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	667	DES	-	-	-	-	-	-
A6F	-	125	16	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	667	DES	-	-	-	-	-	-
A70	-	126	1	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	668	DES	-	-	-	-	-	-
A71	-	126	2	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	668	DES	-	-	-	-	-	-
A72	-	126	3	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	668	DES	-	-	-	-	-	-
A73	-	126	4	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	668	DES	-	-	-	-	-	-
A74	-	126	5	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	669	DES	-	-	-	-	-	-
A75	-	126	6	0	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	669	DES	-	-	-	-	-	-
A76	-	126	7	1	0	0	0000000_	10_	00_	00_	00_	00_	0x0000	0x0000	669	DES	-	-	-	-	-	-
