DO	HB	NB	V43	run	wf	x	y	test
1	2	0	3190	PCI033	4	36	37	0
3	2	0	3190	PCI033	7	21	53	0
2	2	0	3190	PCI033	4	38	37	0
4	2	0	4122	PCI033	7	21	51	0
1	2	0	3190	PCI033	4	28	33	0
3	2	0	4122	PCI033	9	33	50	0
2	2	0	4122	PCI033	4	31	32	0
4	2	0	3190	PCI033	9	47	50	0
1	8	0	0	W0A000	0	0	0	0
3	8	0	0	W0A000	0	0	0	0
2	8	0	0	W0A000	0	0	0	0
4	8	0	0	W0A000	0	0	0	0
1	6	0	3190	PCI033	4	22	55	0
3	6	0	3190	PCI033	7	47	55	0
2	6	0	4122	PCI033	4	21	52	0
4	6	1782	3190	PCI033	7	46	56	0
1	2	0	3190	PCI033	4	46	40	0
3	2	0	3190	PCI033	7	22	41	0
2	2	0	3190	PCI033	4	48	41	0
4	2	0	3190	PCI033	7	24	40	0
1	6	0	3190	PCI033	4	48	53	0
3	6	0	4122	PCI033	7	22	44	0
2	6	2398	3190	PCI033	4	45	54	0
4	6	0	3190	PCI033	7	23	42	0
1	8	863	0	W0A000	0	0	0	0
3	8	863	0	W0A000	0	0	0	0
2	8	863	0	W0A000	0	0	0	0
4	8	863	0	W0A000	0	0	0	0
1	2	0	3190	PCI033	4	20	50	0
3	2	0	3190	PCI033	7	44	57	0
2	2	0	3190	PCI033	4	20	48	0
4	2	0	3190	PCI033	7	41	58	0
1	6	0	4122	PCI033	4	47	50	0
3	6	4565	4122	PCI033	7	36	57	0
2	6	0	4122	PCI033	4	47	52	0
4	6	0	4122	PCI033	7	30	55	0
1	2	0	3190	PCI033	4	33	60	0
3	2	0	3190	PCI033	7	49	44	0
2	2	0	4122	PCI033	4	31	60	0
4	2	0	4122	PCI033	7	50	47	0
1	8	0	0	PCI033	4	25	56	0
3	8	0	0	PCI033	7	48	50	0
2	8	0	0	PCI033	4	22	54	0
4	8	863	0	W0A000	0	0	0	0
1	2	0	3190	PCI033	4	48	55	0
3	2	0	3190	PCI033	7	41	39	0
2	2	0	4122	PCI033	4	46	55	0
4	2	0	3190	PCI033	7	44	40	0
1	2	0	3190	PCI033	4	32	57	0
3	2	0	4122	PCI033	7	45	55	0
2	2	0	3190	PCI033	4	25	55	0
4	2	0	4122	PCI033	7	39	57	0
1	2	0	3190	PCI033	4	47	58	0
3	2	0	3190	PCI033	7	19	41	0
2	2	0	4122	PCI033	4	45	58	0
4	2	0	3190	PCI033	7	23	38	0
1	2	0	4122	PCI033	4	53	52	0
3	2	0	3190	PCI033	7	17	50	0
2	2	0	3190	PCI033	4	52	54	0
4	2	0	3190	PCI033	7	17	47	0
1	6	0	4122	PCI033	4	21	41	0
3	6	0	3190	PCI033	7	33	60	0
2	6	2674	3190	PCI033	4	24	39	0
4	6	0	3190	PCI033	7	31	59	0
1	2	0	4122	PCI033	4	31	59	0
3	2	0	4122	PCI033	7	48	44	0
2	2	0	3190	PCI033	4	29	58	0
4	2	0	3190	PCI033	7	49	46	0
1	2	0	3190	PCI033	4	33	34	0
3	2	0	3190	PCI033	7	50	57	0
2	2	0	3190	PCI033	4	35	34	0
4	2	0	4122	PCI033	7	46	60	0
1	2	0	3190	PCI033	4	51	56	0
3	2	0	3190	PCI033	7	18	45	0
2	2	0	3190	PCI033	4	49	58	0
4	2	0	3190	PCI033	7	18	43	0
1	6	1782	3190	PCI033	4	23	59	0
3	6	0	4122	PCI033	7	42	36	0
2	6	0	3190	PCI033	4	22	59	0
4	6	0	3190	PCI033	7	47	38	0
1	2	0	4122	PCI033	4	21	45	0
3	2	0	4122	PCI033	7	38	59	0
2	2	0	3190	PCI033	4	21	43	0
4	2	0	4122	PCI033	7	36	60	0
1	6	0	4122	PCI033	4	22	52	0
3	6	0	4122	PCI033	7	47	54	0
2	6	770	3190	PCI033	4	21	49	0
4	6	0	3190	PCI033	7	44	56	0
1	2	0	3190	PCI033	4	23	41	0
3	2	0	3190	PCI033	7	33	59	0
2	2	0	4122	PCI033	4	26	40	0
4	2	0	3190	PCI033	7	32	58	0
1	6	0	4122	PCI033	4	29	35	0
3	6	1780	3190	PCI033	7	46	59	0
2	6	0	3190	PCI033	4	31	35	0
4	6	0	4122	PCI033	7	43	61	0
1	8	835	0	PCI033	4	37	59	0
3	8	835	0	PCI033	7	46	41	0
2	8	835	0	PCI033	4	33	59	0
4	8	835	0	PCI033	7	47	42	0
1	2	0	3190	PCI033	4	22	46	0
3	2	0	4122	PCI033	7	42	57	0
2	2	0	4122	PCI033	4	22	44	0
4	2	0	4122	PCI033	7	40	57	0
1	6	2398	3190	PCI033	4	44	54	0
3	6	0	4122	PCI033	7	43	40	0
2	6	0	3190	PCI033	4	35	59	0
4	6	0	3190	PCI033	7	46	42	0
1	6	0	3190	PCI033	4	38	38	0
3	6	0	4122	PCI033	7	31	58	0
2	6	0	3190	PCI033	4	41	39	0
4	6	2669	3190	PCI033	7	29	57	0
1	2	0	3190	PCI033	4	39	39	0
3	2	0	3190	PCI033	7	32	57	0
2	2	0	4122	PCI033	4	41	40	0
4	2	0	4122	PCI033	7	30	57	0
1	2	0	3190	PCI033	4	33	40	0
3	2	0	3190	PCI033	7	44	43	0
